id,type,owner,plant_name,unit_number,location,capacity_mw,status,operation_start,closure_planned,note,latitude,longitude,geocoded
complex_14,복합발전,한국서부발전(주),서인천C/C,1.0,인천 서구 장도로,225.0,운영,1992-02-29 00:00:00,"2038년 폐지 (9차, 사업자 의향)",,37.4019,126.595,True
complex_15,복합발전,한국서부발전(주),서인천C/C,2.0,인천 서구 장도로,225.0,운영,,"2038년 폐지 (9차, 사업자 의향)",,37.4019,126.595,True
complex_16,복합발전,한국서부발전(주),서인천C/C,3.0,인천 서구 장도로,225.0,운영,,"2038년 폐지 (9차, 사업자 의향)",,37.4019,126.595,True
complex_17,복합발전,한국서부발전(주),서인천C/C,4.0,인천 서구 장도로,225.0,운영,,"2038년 폐지 (9차, 사업자 의향)",,37.4019,126.595,True
complex_18,복합발전,한국서부발전(주),서인천C/C,5.0,인천 서구 장도로,225.0,운영,,"2038년 폐지 (9차, 사업자 의향)",,37.4019,126.595,True
complex_19,복합발전,한국서부발전(주),서인천C/C,6.0,인천 서구 장도로,225.0,운영,,"2038년 폐지 (9차, 사업자 의향)",,37.4019,126.595,True
complex_20,복합발전,한국서부발전(주),서인천C/C,7.0,인천 서구 장도로,225.0,운영,,"2038년 폐지 (9차, 사업자 의향)",,37.4019,126.595,True
complex_21,복합발전,한국서부발전(주),서인천C/C,8.0,인천 서구 장도로,225.0,운영,,"2038년 폐지 (9차, 사업자 의향)",,37.4019,126.595,True
complex_22,복합발전,한국남부발전(주),신인천C/C,1.0,인천 서구 장도로,450.0,운영,1996-06-30 00:00:00,-,,37.3889,126.5931,True
complex_23,복합발전,한국남부발전(주),신인천C/C,2.0,인천 서구 장도로,450.0,운영,,,,37.3889,126.5931,True
complex_24,복합발전,한국남부발전(주),신인천C/C,3.0,인천 서구 장도로,450.0,운영,,,,37.3889,126.5931,True
complex_25,복합발전,한국남부발전(주),신인천C/C,4.0,인천 서구 장도로,450.0,운영,,,,37.3889,126.5931,True
complex_26,복합발전,한국남부발전(주),안동C/C,1.0,경북 안동시 풍산읍 산업단지1길,362.0,운영,2014-04-02 00:00:00,-,,36.4919,128.8889,False
complex_27,복합발전,한국남부발전(주),영월C/C,1.0,강원 영월군 영월읍 중앙로,848.0,운영,2010-10-06 00:00:00,-,,37.8228,128.1555,False
complex_28,복합발전,한국동서발전(주),울산C/C,1.0,울산 남구 용잠로,300.0,운영,1995-06-30 00:00:00,-,,35.5384,129.3114,False
complex_29,복합발전,한국동서발전(주),울산C/C,2.0,울산 남구 용잠로,450.0,운영,1997-06-30 00:00:00,,,35.5384,129.3114,False
complex_30,복합발전,한국동서발전(주),울산C/C,3.0,울산 남구 용잠로,450.0,운영,1997-08-04 00:00:00,,,35.5384,129.3114,False
